name,date,tech_self_score,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest
Tito Greiswood,20/08/2019,"{'Ruby': 2, 'PHP': 3, 'C++': 4, 'JavaScript': 4}","['Composure', 'Independent']","['Conventional', 'Passive', 'Chaotic']",Yes,Yes,Yes,Pass,Engineering
Reg Vandenhoff,27/08/2019,"{'Ruby': 7, 'R': 5, 'SPSS': 4, 'JavaScript': 3}",['Independent'],"['Competitive', 'Overbearing']",Yes,Yes,Yes,Pass,Data
Ravid Leyninye,06/08/2019,"{'Java': 1, 'JavaScript': 2}","['Efficient', 'Competitive']","['Undisciplined', 'Stubborn']",Yes,Yes,Yes,Pass,Data
Ninetta Joyce,06/08/2019,"{'Python': 1, 'C#': 2, 'JavaScript': 4}","['Collaboration', 'Perfectionism']","['Selfish', 'Critical', 'Stubborn']",Yes,Yes,Yes,Pass,Data
Rozalin Summerscales,28/08/2019,"{'Python': 5, 'R': 5}","['Altruism', 'Collaboration', 'Empathy']","['Chaotic', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering
Rafi Andrzejczak,07/08/2019,"{'Python': 6, 'Java': 2}","['Critical Thinking', 'Innovative']","['Chatty', 'Undisciplined', 'Selfish']",Yes,No,Yes,Fail,Business
Rafi Andrzejczak,07/08/2019,"{'Python': 6, 'Java': 2}","['Critical Thinking', 'Innovative']","['Chatty', 'Undisciplined', 'Selfish']",Yes,No,Yes,Fail,Business
Mead Stolting,29/08/2019,"{'Java': 1, 'R': 2, 'SPSS': 7, 'PHP': 2}","['Courteous', 'Efficient']","['Sensitive', 'Indifferent']",Yes,No,Yes,Fail,Data
Chickie Kezar,21/08/2019,"{'SPSS': 7, 'C++': 2, 'JavaScript': 5}","['Problem Solving', 'Altruism', 'Ambitious']","['Undisciplined', 'Procrastination']",Yes,Yes,No,Fail,Business
Cornall Wastall,15/08/2019,"{'SPSS': 3, 'C++': 1}","['Innovative', 'Efficient']","['Indifferent', 'Critical', 'Impatient']",Yes,Yes,Yes,Pass,Engineering
Carlin Stellino,20/08/2019,{'Python': 5},"['Consistent', 'Efficient']","['Chatty', 'Overbearing']",Yes,Yes,No,Fail,Engineering
Sherline Cudihy,01/08/2019,"{'Python': 1, 'Java': 3, 'Ruby': 2, 'R': 2, 'SPSS': 5}",['Perfectionism'],['Sensitive'],Yes,Yes,Yes,Pass,Data
Burnard Fielden,21/08/2019,"{'Python': 5, 'C#': 2, 'SPSS': 2}",['Independent'],"['Slow', 'Indifferent', 'Selfish']",Yes,No,Yes,Fail,Data
Valle Humby,21/08/2019,"{'Python': 2, 'C#': 1, 'Ruby': 2, 'SPSS': 5, 'JavaScript': 2}",['Competitive'],"['Perfectionist', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering
Jillie Howles,27/08/2019,"{'Java': 5, 'Ruby': 2, 'SPSS': 4, 'PHP': 1}","['Consistent', 'Independent', 'Composure']",['Chaotic'],Yes,Yes,No,Fail,Data
Chucho Galfour,13/08/2019,"{'Python': 1, 'Java': 2, 'R': 7, 'SPSS': 2}","['Problem Solving', 'Ambitious', 'Courteous']","['Chatty', 'Procrastination', 'Overbearing']",Yes,Yes,Yes,Pass,Engineering
Orland Glaisner,13/08/2019,{'JavaScript': 2},"['Charisma', 'Courteous', 'Collaboration']","['Distracted', 'Critical', 'Competitive']",Yes,Yes,Yes,Pass,Engineering
Luz Gasparro,08/08/2019,"{'Python': 3, 'PHP': 1}","['Creative', 'Listening', 'Altruism']","['Anxious', 'Critical']",Yes,Yes,Yes,Pass,Engineering
Melesa Mault,07/08/2019,"{'Java': 5, 'SPSS': 1}","['Altruism', 'Problem Solving', 'Versatile']",['Competitive'],Yes,No,Yes,Fail,Data
Trudie Kiellor,06/08/2019,{'Python': 3},"['Collaboration', 'Curious', 'Passionate']",['Intolerant'],Yes,Yes,Yes,Pass,Data
Nancie Sazio,15/08/2019,"{'R': 3, 'PHP': 4}",['Altruism'],"['Overbearing', 'Selfish']",Yes,Yes,Yes,Pass,Engineering
Welby Wishkar,14/08/2019,"{'Java': 7, 'Ruby': 3, 'PHP': 4, 'C++': 3}","['Problem Solving', 'Passionate']",['Competitive'],Yes,Yes,Yes,Fail,Business
Carce Capel,28/08/2019,"{'Python': 5, 'R': 1, 'SPSS': 2, 'PHP': 1, 'C++': 3, 'JavaScript': 2}","['Courteous', 'Versatile', 'Organisation']",['Undisciplined'],No,Yes,Yes,Fail,Business
Oralia Barrat,27/08/2019,"{'C#': 2, 'R': 3}","['Composure', 'Patient']",['Introverted'],Yes,Yes,Yes,Pass,Data
Katuscha Ransfield,07/08/2019,"{'C#': 5, 'Java': 4, 'Ruby': 3, 'C++': 3, 'JavaScript': 2}","['Altruism', 'Innovative']",['Introverted'],Yes,No,Yes,Fail,Engineering
Norene Fierro,01/08/2019,"{'Python': 6, 'C++': 3}","['Efficient', 'Empathy']",['Stubborn'],Yes,No,Yes,Fail,Business
Mylo Sudell,06/08/2019,{'R': 1},"['Creative', 'Critical Thinking']",['Passive'],Yes,Yes,Yes,Pass,Data
Shannon Hartman,21/08/2019,"{'C#': 1, 'Ruby': 2, 'SPSS': 2, 'C++': 2, 'JavaScript': 1}","['Collaboration', 'Problem Solving']",['Indecisive'],Yes,Yes,Yes,Fail,Engineering
Blakeley Strood,06/08/2019,"{'Python': 3, 'SPSS': 3}","['Empathy', 'Competitive']",['Procrastination'],Yes,Yes,Yes,Pass,Data
Rafi Downse,21/08/2019,"{'Python': 2, 'Java': 1, 'Ruby': 3, 'R': 8, 'SPSS': 3, 'JavaScript': 1}","['Rational', 'Innovative', 'Versatile']","['Introverted', 'Undisciplined', 'Stubborn']",Yes,Yes,Yes,Pass,Engineering
Demetrius Tunstall,07/08/2019,"{'C#': 2, 'SPSS': 2}",['Collaboration'],"['Competitive', 'Introverted', 'Overbearing']",Yes,Yes,Yes,Pass,Engineering
Melinde Darton,21/08/2019,{'JavaScript': 4},['Courteous'],"['Controlling', 'Critical', 'Conventional']",Yes,Yes,Yes,Pass,Business
Dulcea Perl,22/08/2019,"{'C#': 4, 'JavaScript': 5}","['Creative', 'Empathy', 'Innovative']",['Distracted'],Yes,Yes,Yes,Pass,Engineering
Milton Conaghan,08/08/2019,"{'C#': 5, 'Java': 2, 'R': 1, 'PHP': 4, 'C++': 4, 'JavaScript': 1}","['Collaboration', 'Consistent']","['Distracted', 'Sensitive']",Yes,Yes,Yes,Pass,Engineering
Chere Siddens,29/08/2019,{'Java': 5},"['Competitive', 'Listening', 'Curious']","['Sensitive', 'Competitive']",No,Yes,No,Fail,Business
Putnem Hessing,08/08/2019,"{'C#': 4, 'Ruby': 5, 'SPSS': 1, 'C++': 1}","['Independent', 'Critical Thinking']","['Chatty', 'Perfectionist', 'Critical']",Yes,Yes,Yes,Pass,Data
Timmi Haveline,22/08/2019,{'C#': 3},"['Curious', 'Reliable', 'Competitive']",['Sensitive'],Yes,Yes,Yes,Pass,Business
Garald Banasevich,08/08/2019,"{'C#': 2, 'Java': 3, 'Ruby': 3, 'R': 5, 'C++': 3}",['Creative'],"['Selfish', 'Perfectionist', 'Anxious']",Yes,Yes,Yes,Pass,Data
Anselma Pavelin,21/08/2019,"{'Java': 5, 'PHP': 2, 'JavaScript': 1}",['Organisation'],['Distracted'],Yes,Yes,Yes,Fail,Business
Querida Antonacci,29/08/2019,"{'Python': 6, 'Ruby': 1, 'R': 7, 'C++': 4, 'JavaScript': 1}",['Problem Solving'],['Introverted'],Yes,Yes,Yes,Pass,Data
Leda Aharoni,13/08/2019,"{'Python': 4, 'C#': 4, 'PHP': 3, 'JavaScript': 3}","['Competitive', 'Consistent']","['Immature', 'Impatient', 'Distracted']",Yes,Yes,Yes,Pass,Business
Norri Temby,27/08/2019,"{'Java': 5, 'SPSS': 5}","['Listening', 'Organisation', 'Consistent']","['Controlling', 'Passive']",Yes,Yes,Yes,Pass,Engineering
Margery Winspur,07/08/2019,"{'Python': 1, 'C#': 1, 'Java': 4, 'PHP': 1}",['Independent'],"['Impulsive', 'Undisciplined']",Yes,Yes,Yes,Pass,Data
Bord Ollin,14/08/2019,"{'C#': 2, 'R': 5, 'JavaScript': 5}",['Innovative'],"['Stubborn', 'Competitive', 'Passive']",Yes,Yes,No,Fail,Business
Dodie Lassells,27/08/2019,"{'Python': 2, 'Java': 1, 'Ruby': 2, 'R': 2, 'C++': 3, 'JavaScript': 2}",['Critical Thinking'],"['Stubborn', 'Immature']",Yes,Yes,Yes,Pass,Data
Corie Snodin,22/08/2019,"{'C#': 1, 'SPSS': 1, 'C++': 4, 'JavaScript': 3}","['Reliable', 'Determined', 'Consistent']","['Anxious', 'Conventional']",Yes,Yes,No,Fail,Data
Arron Cuerdall,08/08/2019,"{'Java': 1, 'PHP': 3}","['Efficient', 'Creative']","['Indifferent', 'Impatient']",Yes,Yes,Yes,Pass,Engineering
Josh Youens,08/08/2019,"{'Python': 4, 'Java': 5, 'SPSS': 3}",['Listening'],"['Sensitive', 'Anxious', 'Indecisive']",Yes,Yes,Yes,Pass,Engineering
Aldo Bradnum,27/08/2019,"{'C#': 1, 'Ruby': 3, 'R': 2, 'SPSS': 2, 'PHP': 2, 'C++': 3}",['Consistent'],"['Distracted', 'Conventional', 'Chaotic']",Yes,Yes,Yes,Pass,Engineering
Xymenes Pretor,07/08/2019,"{'Java': 1, 'C++': 3, 'JavaScript': 1}","['Organisation', 'Ambitious']","['Selfish', 'Sensitive', 'Intolerant']",Yes,Yes,Yes,Pass,Engineering
Heinrik Allwell,08/08/2019,"{'Java': 2, 'SPSS': 1}","['Collaboration', 'Efficient', 'Organisation']","['Critical', 'Competitive']",Yes,Yes,Yes,Pass,Business
Bob Rogerson,07/08/2019,"{'Python': 4, 'C#': 1, 'Java': 2, 'Ruby': 1, 'SPSS': 6, 'JavaScript': 3}",['Efficient'],"['Stubborn', 'Introverted']",Yes,Yes,Yes,Pass,Data
Neall Mayor,07/08/2019,"{'C#': 1, 'Java': 3, 'R': 1, 'PHP': 2, 'C++': 4}","['Independent', 'Competitive', 'Consistent']",['Overbearing'],Yes,Yes,No,Fail,Data
Ilysa Kiggel,07/08/2019,"{'Python': 4, 'C#': 2, 'PHP': 3}",['Consistent'],"['Slow', 'Indecisive', 'Undisciplined']",Yes,Yes,Yes,Pass,Data
Melisse Craze,20/08/2019,"{'Python': 3, 'C#': 5, 'Java': 5, 'C++': 4}","['Rational', 'Courteous', 'Efficient']",['Selfish'],Yes,Yes,Yes,Fail,Data
Petronille Dougharty,29/08/2019,"{'Java': 6, 'JavaScript': 4}","['Courteous', 'Passionate']","['Introverted', 'Immature', 'Sensitive']",No,Yes,Yes,Fail,Business
Urbano Reinisch,13/08/2019,"{'Python': 1, 'Java': 3, 'SPSS': 3}","['Courteous', 'Ambitious', 'Organisation']","['Immature', 'Perfectionist', 'Distracted']",Yes,Yes,Yes,Pass,Engineering
Noami Edworthye,20/08/2019,"{'Python': 3, 'C#': 4, 'Java': 2, 'Ruby': 2, 'R': 2, 'JavaScript': 3}","['Collaboration', 'Patient', 'Determined']",['Impatient'],No,Yes,Yes,Fail,Business
Cynthia Jenny,06/08/2019,"{'C#': 2, 'Ruby': 4, 'JavaScript': 4}","['Ambitious', 'Empathy']","['Immature', 'Conventional']",Yes,No,Yes,Fail,Business
Ivett Prop,22/08/2019,"{'C#': 1, 'Java': 1, 'JavaScript': 3}","['Organisation', 'Altruism']","['Distracted', 'Immature', 'Overbearing']",Yes,Yes,Yes,Pass,Business
Lamond Levensky,13/08/2019,"{'Python': 6, 'C#': 1, 'Java': 1, 'JavaScript': 6}",['Problem Solving'],"['Anxious', 'Impatient', 'Sensitive']",Yes,Yes,Yes,Pass,Data
Estevan Bartalini,21/08/2019,"{'Python': 2, 'R': 1, 'SPSS': 4, 'PHP': 3}","['Altruism', 'Rational', 'Collaboration']",['Stubborn'],Yes,Yes,Yes,Pass,Engineering
Redford Bubbings,15/08/2019,"{'Java': 4, 'Ruby': 1, 'R': 2}","['Rational', 'Curious', 'Courteous']",['Procrastination'],No,Yes,Yes,Fail,Engineering
Redford Bubbings,15/08/2019,"{'Java': 4, 'Ruby': 1, 'R': 2}","['Rational', 'Curious', 'Courteous']",['Procrastination'],No,Yes,Yes,Fail,Engineering
Brandais Reiner,22/08/2019,"{'R': 3, 'PHP': 1, 'JavaScript': 1}","['Ambitious', 'Determined']",['Indecisive'],Yes,Yes,Yes,Pass,Business
Correy Clemont,28/08/2019,{'Java': 1},['Versatile'],"['Conventional', 'Overbearing']",Yes,No,Yes,Fail,Data
Starr Curcher,15/08/2019,"{'Python': 1, 'Ruby': 3, 'R': 4, 'JavaScript': 4}",['Consistent'],['Indifferent'],Yes,No,Yes,Fail,Business
Rosaline Goldsmith,21/08/2019,"{'SPSS': 4, 'C++': 3}",['Empathy'],"['Selfish', 'Immature']",Yes,Yes,Yes,Pass,Engineering
Chancey Climer,27/08/2019,"{'Python': 1, 'C#': 4, 'SPSS': 2, 'PHP': 1, 'C++': 2}","['Versatile', 'Critical Thinking']","['Critical', 'Distracted', 'Perfectionist']",Yes,Yes,Yes,Pass,Business
Gena Humbles,29/08/2019,"{'R': 1, 'C++': 1}","['Collaboration', 'Perfectionism', 'Independent']","['Stubborn', 'Conventional']",Yes,Yes,Yes,Pass,Engineering
Madeleine Younglove,06/08/2019,"{'Ruby': 7, 'SPSS': 1, 'C++': 4, 'JavaScript': 2}",['Organisation'],['Controlling'],Yes,No,Yes,Fail,Engineering
Leonerd Scamel,08/08/2019,"{'Python': 5, 'PHP': 4}",['Efficient'],['Controlling'],No,Yes,Yes,Fail,Engineering
Balduin Culleton,13//08/2019,"{'Python': 5, 'R': 2, 'JavaScript': 6}",['Courteous'],"['Chaotic', 'Perfectionist', 'Critical']",Yes,Yes,Yes,Fail,Data
Oliy Ellar,13/08/2019,"{'Java': 4, 'SPSS': 3, 'JavaScript': 7}","['Rational', 'Courteous']","['Perfectionist', 'Distracted']",Yes,Yes,No,Fail,Engineering
Carena Nizet,08/08/2019,"{'C#': 2, 'Java': 5, 'R': 3, 'PHP': 1, 'JavaScript': 5}",['Empathy'],['Immature'],Yes,Yes,Yes,Pass,Engineering
Theo Ottee,21/08/2019,{'SPSS': 2},"['Perfectionism', 'Innovative', 'Creative']","['Intolerant', 'Chatty', 'Perfectionist']",Yes,Yes,Yes,Pass,Engineering
Britt Summergill,28/08/2019,{'R': 2},['Curious'],"['Introverted', 'Impatient', 'Stubborn']",Yes,Yes,Yes,Pass,Data
Nial Oret,13/08/2019,"{'C#': 2, 'Java': 4, 'Ruby': 4, 'PHP': 1, 'JavaScript': 1}",['Versatile'],"['Passive', 'Impatient', 'Introverted']",Yes,No,Yes,Fail,Data
Pegeen O'Lochan,15/08/2019,"{'Java': 2, 'Ruby': 3, 'R': 2, 'SPSS': 1, 'PHP': 1}","['Independent', 'Patient', 'Passionate']",['Sensitive'],Yes,Yes,No,Fail,Business
Kingsley Hardaker,28/08/2019,{'PHP': 1},['Altruism'],['Slow'],Yes,Yes,Yes,Pass,Business
Lorine Bignall,01/08/2019,"{'SPSS': 1, 'C++': 2}",['Listening'],['Stubborn'],Yes,Yes,Yes,Fail,Business
Christian Bingley,13/08/2019,{'JavaScript': 4},"['Independent', 'Listening']","['Anxious', 'Introverted', 'Conventional']",Yes,Yes,Yes,Pass,Data
Ad Do,21/08/2019,"{'C#': 5, 'Java': 1, 'R': 1, 'C++': 1}","['Curious', 'Ambitious', 'Patient']",['Perfectionist'],Yes,Yes,Yes,Pass,Engineering
Beret Devonside,15/08/2019,"{'PHP': 1, 'C++': 3, 'JavaScript': 6}",['Listening'],"['Undisciplined', 'Indifferent', 'Immature']",Yes,Yes,No,Fail,Business
Denyse Weth,22/08/2019,{'SPSS': 2},"['Patient', 'Competitive']",['Perfectionist'],Yes,Yes,Yes,Pass,Business
Deirdre Van Den Velde,01/08/2019,"{'C#': 3, 'Ruby': 3, 'PHP': 3}",['Perfectionism'],['Competitive'],Yes,Yes,Yes,Pass,Engineering
Bevon Mustill,15/08/2019,"{'Python': 2, 'C#': 1, 'Java': 1, 'Ruby': 5, 'R': 2, 'SPSS': 4, 'C++': 1}","['Perfectionism', 'Competitive']","['Chaotic', 'Competitive', 'Controlling']",No,No,Yes,Fail,Engineering
Ruthe Adolthine,01/08/2019,"{'C#': 6, 'C++': 2}","['Charisma', 'Creative', 'Curious']","['Selfish', 'Immature']",Yes,Yes,No,Fail,Data
Vaughn Wallington,27/08/2019,"{'Python': 3, 'JavaScript': 7}",['Curious'],"['Introverted', 'Sensitive', 'Chaotic']",Yes,Yes,Yes,Pass,Business
Matty Ceney,08/08/2019,"{'C#': 3, 'Java': 2, 'SPSS': 2, 'C++': 2, 'JavaScript': 5}","['Ambitious', 'Patient']","['Procrastination', 'Passive', 'Slow']",Yes,Yes,Yes,Pass,Engineering
Rubia Espy,08/08/2019,"{'Python': 1, 'Java': 1}","['Determined', 'Collaboration']","['Critical', 'Anxious']",Yes,Yes,Yes,Pass,Business
Meridel Dearell,21/08/2019,"{'Ruby': 1, 'C++': 5}","['Curious', 'Perfectionism']","['Anxious', 'Procrastination']",Yes,Yes,Yes,Pass,Data
Noelyn Sinkin,21/08/2019,"{'Python': 2, 'C++': 4}","['Determined', 'Patient', 'Critical Thinking']","['Indifferent', 'Slow']",Yes,Yes,Yes,Pass,Business
Mozelle Grinnov,20/08/2019,"{'Python': 3, 'Ruby': 1}","['Courteous', 'Patient']","['Passive', 'Chatty']",Yes,Yes,Yes,Pass,Engineering
Christyna Arkill,21/08/2019,"{'C#': 2, 'R': 6, 'SPSS': 2, 'C++': 6, 'JavaScript': 3}",['Courteous'],['Conventional'],Yes,Yes,Yes,Pass,Data
Kain Lowne,29/08/2019,"{'Python': 4, 'C#': 4, 'Java': 4, 'Ruby': 5, 'PHP': 2, 'JavaScript': 3}","['Organisation', 'Empathy', 'Innovative']",['Anxious'],Yes,Yes,Yes,Pass,Data
Mitchel Blackesland,14/08/2019,"{'Python': 3, 'Java': 5, 'Ruby': 3, 'PHP': 2, 'JavaScript': 7}","['Determined', 'Critical Thinking', 'Ambitious']","['Impatient', 'Intolerant', 'Undisciplined']",Yes,Yes,Yes,Pass,Data
Albie Lyon,22/08/2019,"{'C#': 4, 'R': 4, 'PHP': 1, 'JavaScript': 5}","['Problem Solving', 'Patient', 'Ambitious']","['Controlling', 'Slow', 'Indecisive']",Yes,Yes,Yes,Pass,Data
Farand Rotlauf,20/08/2019,"{'C#': 6, 'Java': 7, 'R': 6, 'SPSS': 6, 'JavaScript': 1}",['Perfectionism'],['Selfish'],Yes,Yes,Yes,Pass,Engineering
Bo Fargie,28/08/2019,"{'Python': 5, 'Ruby': 2, 'SPSS': 2, 'C++': 4}",['Altruism'],['Impatient'],Yes,Yes,Yes,Pass,Engineering
Arch Cookley,20/08/2019,"{'Python': 3, 'Ruby': 6, 'C++': 1, 'JavaScript': 3}","['Innovative', 'Listening', 'Courteous']","['Competitive', 'Overbearing']",Yes,No,Yes,Fail,Engineering
Martica Cawse,08/08/2019,"{'SPSS': 1, 'PHP': 1}",['Creative'],"['Introverted', 'Overbearing']",Yes,Yes,Yes,Pass,Engineering
Nancie Mehaffey,08/08/2019,"{'Ruby': 6, 'SPSS': 3, 'C++': 6}","['Efficient', 'Independent', 'Critical Thinking']","['Intolerant', 'Selfish', 'Passive']",Yes,Yes,Yes,Pass,Data
Donnamarie Schofield,15/08/2019,"{'Python': 2, 'C#': 3, 'Ruby': 5, 'C++': 4}",['Ambitious'],['Passive'],Yes,Yes,Yes,Pass,Data
Erda Liddel,06/08/2019,"{'C++': 3, 'JavaScript': 2}",['Altruism'],['Anxious'],Yes,No,Yes,Fail,Business
Alister Bru,07/08/2019,,"['Organisation', 'Composure', 'Reliable']","['Critical', 'Distracted', 'Introverted']",Yes,Yes,Yes,Pass,Engineering
Sigismund Izkovici,15/08/2019,"{'Java': 1, 'PHP': 2}","['Problem Solving', 'Charisma', 'Collaboration']",['Overbearing'],Yes,Yes,Yes,Pass,Engineering
Star Jurges,01/08/2019,"{'Python': 1, 'C#': 6, 'SPSS': 5}","['Patient', 'Listening']","['Competitive', 'Impatient']",Yes,Yes,Yes,Pass,Data
Pauly Gillbee,28/08/2019,"{'Python': 2, 'Ruby': 3}","['Problem Solving', 'Listening']",['Stubborn'],Yes,Yes,Yes,Pass,Business
Stan Forkan,01/08/2019,"{'C#': 1, 'Ruby': 4}","['Creative', 'Versatile']","['Chatty', 'Procrastination', 'Chaotic']",Yes,Yes,Yes,Fail,Data
Brinn Trewhela,06/08/2019,"{'C#': 4, 'SPSS': 3, 'PHP': 2, 'C++': 1}","['Consistent', 'Altruism']","['Slow', 'Indifferent', 'Anxious']",Yes,Yes,Yes,Pass,Business
Rodrigo Endrighi,14/08/2019,"{'C#': 3, 'Java': 1, 'R': 2, 'SPSS': 1, 'C++': 2}",['Competitive'],"['Competitive', 'Impulsive', 'Conventional']",Yes,Yes,Yes,Pass,Data
Tansy Dukelow,20/08/2019,"{'Python': 2, 'C#': 3, 'PHP': 2, 'C++': 3}","['Altruism', 'Curious']","['Procrastination', 'Indifferent']",Yes,No,Yes,Fail,Engineering
Sean Ovise,27/08/2019,"{'Python': 1, 'Java': 2, 'C++': 4}",['Problem Solving'],['Conventional'],Yes,Yes,Yes,Pass,Engineering
Anselma Pawlett,21/08/2019,"{'Python': 1, 'R': 1, 'C++': 5, 'JavaScript': 4}",['Innovative'],"['Selfish', 'Immature']",Yes,Yes,Yes,Pass,Data
Kerrie Rosi,22/08/2019,"{'C#': 7, 'R': 4, 'SPSS': 1}","['Empathy', 'Independent', 'Critical Thinking']","['Competitive', 'Conventional']",Yes,Yes,Yes,Pass,Business
Dorothy Hailwood,15/08/2019,"{'C#': 5, 'Java': 1, 'Ruby': 5, 'R': 2, 'SPSS': 1, 'C++': 4, 'JavaScript': 7}",['Versatile'],['Introverted'],Yes,No,Yes,Fail,Business
Jodie Kaygill,01/08/2019,"{'Python': 1, 'C#': 1, 'R': 3, 'SPSS': 1, 'PHP': 2, 'C++': 2}","['Consistent', 'Altruism']","['Competitive', 'Overbearing', 'Selfish']",Yes,Yes,Yes,Pass,Data
Jim Dwerryhouse,27/08/2019,"{'Python': 3, 'C#': 2, 'Java': 3}",['Problem Solving'],"['Perfectionist', 'Sensitive']",Yes,Yes,Yes,Pass,Business
Delinda Conybear,01/08/2019,"{'Python': 3, 'Ruby': 2, 'PHP': 3}","['Passionate', 'Organisation', 'Critical Thinking']","['Procrastination', 'Controlling', 'Sensitive']",Yes,Yes,Yes,Pass,Data
Norby Burle,21/08/2019,"{'Python': 3, 'Ruby': 5, 'R': 5}","['Competitive', 'Versatile']",['Overbearing'],No,No,Yes,Fail,Business
Robinet Renwick,15/08/2019,"{'Python': 2, 'C#': 1, 'Java': 4}",['Courteous'],"['Procrastination', 'Distracted', 'Indifferent']",Yes,Yes,Yes,Pass,Business
Perry Richemond,08/08/2019,"{'C#': 1, 'PHP': 4, 'JavaScript': 5}","['Problem Solving', 'Rational']","['Perfectionist', 'Overbearing', 'Critical']",Yes,Yes,Yes,Pass,Data
Carlyn Reisin,14/08/2019,"{'Python': 5, 'C#': 1, 'Java': 4, 'Ruby': 2, 'SPSS': 3, 'C++': 5, 'JavaScript': 2}","['Consistent', 'Creative', 'Organisation']","['Immature', 'Impatient', 'Sensitive']",Yes,Yes,Yes,Pass,Business
Horatius Starking,08/08/2019,"{'C#': 3, 'PHP': 1, 'C++': 5, 'JavaScript': 2}",['Consistent'],"['Selfish', 'Introverted', 'Slow']",Yes,Yes,No,Fail,Business
Leoline Vigietti,07/08/2019,"{'R': 1, 'PHP': 1}","['Determined', 'Patient']","['Intolerant', 'Immature']",Yes,Yes,Yes,Pass,Business
Rudolf Maple,21/08/2019,{'Python': 4},['Listening'],"['Chatty', 'Intolerant', 'Passive']",Yes,Yes,Yes,Pass,Data
Alwin Bullman,07/08/2019,"{'Python': 4, 'Java': 2, 'Ruby': 2, 'SPSS': 2, 'C++': 2}","['Charisma', 'Perfectionism', 'Rational']",['Controlling'],Yes,Yes,Yes,Pass,Data
Shae Ainslie,15/08/2019,"{'Python': 3, 'C#': 3, 'Ruby': 4, 'R': 3, 'SPSS': 4, 'C++': 4}",['Innovative'],"['Chaotic', 'Slow']",Yes,Yes,Yes,Pass,Business
Ciel Poizer,14/08/2019,"{'C#': 5, 'SPSS': 2}","['Listening', 'Curious']","['Sensitive', 'Conventional', 'Immature']",No,Yes,Yes,Fail,Business
Matteo Yeowell,01/08/2019,"{'Ruby': 2, 'R': 4, 'PHP': 3, 'C++': 6}","['Versatile', 'Empathy']","['Overbearing', 'Sensitive', 'Selfish']",Yes,Yes,Yes,Pass,Business
Saundra Fuzzens,28//08/2019,"{'Python': 6, 'C#': 3, 'Ruby': 3, 'R': 5}","['Passionate', 'Efficient', 'Charisma']","['Procrastination', 'Slow', 'Overbearing']",Yes,Yes,Yes,Fail,Business
Denise Oppy,21/08/2019,"{'C#': 4, 'R': 6, 'PHP': 2, 'JavaScript': 7}","['Courteous', 'Independent']",['Sensitive'],Yes,Yes,Yes,Pass,Engineering
Didi Stronough,29/08/2019,"{'Python': 1, 'C#': 2}",['Reliable'],"['Slow', 'Anxious']",Yes,Yes,Yes,Pass,Engineering
Tarrah Bunny,07/08/2019,{'C#': 6},['Altruism'],"['Perfectionist', 'Distracted']",Yes,Yes,Yes,Pass,Business
Bondon Josselson,15/08/2019,"{'Java': 2, 'R': 6}",['Innovative'],"['Introverted', 'Chatty']",Yes,No,Yes,Fail,Engineering
Denny Begg,08/08/2019,"{'Python': 2, 'C#': 6, 'Java': 7, 'Ruby': 4, 'SPSS': 3, 'PHP': 4}","['Altruism', 'Charisma']",['Introverted'],Yes,Yes,Yes,Pass,Data
Clim Lovie,29/08/2019,"{'Ruby': 1, 'JavaScript': 3}","['Creative', 'Empathy']","['Undisciplined', 'Slow']",Yes,Yes,Yes,Fail,Business
Wolf Radolf,08/08/2019,"{'C#': 4, 'Java': 3, 'Ruby': 1, 'R': 2, 'SPSS': 4}","['Listening', 'Determined']","['Indifferent', 'Chatty']",Yes,Yes,Yes,Pass,Engineering
Ferrel Lissandrini,29/08/2019,"{'Python': 2, 'R': 2}","['Creative', 'Ambitious']",['Slow'],Yes,Yes,Yes,Fail,Business
Carlos Gerckens,01/08/2019,"{'Java': 4, 'C++': 1, 'JavaScript': 7}","['Collaboration', 'Ambitious']","['Intolerant', 'Stubborn', 'Anxious']",Yes,Yes,Yes,Pass,Data
Blake Nunson,01/08/2019,"{'Python': 1, 'Java': 1, 'C++': 3}","['Reliable', 'Determined']","['Competitive', 'Indifferent', 'Controlling']",Yes,Yes,Yes,Pass,Engineering
Paula Danielsen,22/08/2019,"{'Java': 2, 'Ruby': 1, 'PHP': 2, 'C++': 3}","['Altruism', 'Listening', 'Problem Solving']",['Impulsive'],Yes,Yes,No,Fail,Business
Brose Menghi,06/08/2019,"{'C#': 3, 'Java': 3}","['Rational', 'Listening', 'Organisation']","['Passive', 'Slow']",Yes,Yes,Yes,Pass,Engineering
Junia Collins,29/08/2019,"{'Python': 2, 'Java': 4, 'PHP': 1}","['Composure', 'Collaboration']",['Slow'],Yes,Yes,Yes,Pass,Data
Jule Corke,29/08/2019,"{'Python': 1, 'C#': 1, 'Java': 1, 'R': 2}","['Listening', 'Reliable', 'Passionate']",['Undisciplined'],Yes,Yes,No,Fail,Engineering
Matteo Cornewell,27/08/2019,{'Java': 1},['Composure'],"['Impatient', 'Undisciplined']",Yes,Yes,Yes,Pass,Business
Sid Libbie,01/08/2019,"{'Ruby': 3, 'C++': 1, 'JavaScript': 2}","['Competitive', 'Ambitious']","['Chaotic', 'Sensitive']",Yes,Yes,No,Fail,Engineering
